,ID,title,description,Verified,subcount,viewcount,channel_name,date_uploaded,likes,dislikes,upvotes,rank,timestamp
37,7LaxOQbCnyQ,"10,000 CALORIE CHALLENGE | GIRL VS: FOOD: EPIC CHEAT DAY","I threw up...
I attempted the 10k calorie challenge for the first time ever and I can't believe what I went through...so much pain.
STREAM MY NEW SONG ON SPOTIFY- ",True,1380000.0,309782.0,Millie T,15 Feb 2021,15045,384,0,38,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
38,ZPHvH7D6qQY,Xbox Wireless Headset - Launch Trailer,"Game loud and clear with the all-new Xbox Wireless Headset, featuring auto-mute and voice isolation for crystal-clear chat, intuitive design, and direct pairing to your console.

Learn more: ",True,4390000.0,430141.0,Xbox,16 Feb 2021,21671,461,0,39,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
39,fujEnmIOuEM,The New Northern Line Platform at Bank,"The Bank Capacity Upgrade works are now over halfway complete, but is sometimes forgotten with the Northern Line Extension and Crossrail being likely to finish and open first.

So here's a quick overview of everything you need to know and some fancy graphics to show you how and where Bank station is going to change - similar to how Angel and Euston on the Northern Line have wide platforms when they were upgraded from island platforms.

TfL Project page on Bank station: ",True,210000.0,66443.0,Geoff Marshall,16 Feb 2021,3444,30,0,40,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
40,rHJrqHzKE,QUIT THE SIDEMEN OR QUIT DRINKING?,Check out Stereo & follow us. Links below!,True,4830000.0,1270242.0,MoreSidemen,16 Feb 2021,81011,982,0,41,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
41,x9HotRg6AU,Lil Tjay & 6LACK - Calling My Phone (BTS),"Official BTS Video for ""Calling My Phone"" by Lil Tjay featuring 6LACK. 

Listen & Download “Calling My Phone” by out now: ",True,2820000.0,242497.0,Lil Tjay,Premiered 20 hours ago,29013,116,6252.0,42,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
42,ZKTUaUjONHU,FC Bayern München - Arminia Bielefeld | 3-3 | Highlights | Matchday 21 – Bundesliga 2020/21,FC Bayern München - Arminia Bielefeld | 3-3 | Highlights | Matchday 21 – Bundesliga 2020/21,True,2480000.0,974919.0,Bundesliga,15 Feb 2021,18900,369,0,43,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
43,LYwl23w8qhY,VALENTINES DAY BAKING CHALLENGE❣️,VALENTINES DAY BAKING CHALLENGE❣️,False,675000.0,242739.0,Jordyn & Alphonso,16 Feb 2021,30849,133,0,44,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
44,Nlzehe4mta4,What will the world look like in 250 million years?,Download the Stereo app for free: ,True,865000.0,464944.0,Jay Foreman,15 Feb 2021,37516,243,0,45,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
45,_fqjDAR6MNI,Minecraft's History of Easter Eggs,Minceraft is full of hidden and secret features that have been added over the years. Today we dive into the history of Minecraft's Easter eggs from Herobrine in version 1.0 to secret dimensions in 1.17. Enjoy this video I blatantly ripped off of ,False,231000.0,778721.0,Wifies,15 Feb 2021,33792,431,0,46,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
46,ZwwnfRYFuYQ,"Fortnite Update 15.40: EVERYTHING You Need To Know In UNDER 5 MINUTES (Flintknock, Midas, & More!)",Want 24/7 On-Demand Coaching? As Well as Instant VOD Review From TOP Pros? Head on over to: ,True,974000.0,343455.0,"ProGuides Fortnite Tips, Tricks and Guides",16 Feb 2021,7441,423,0,47,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
